"site_id","datetime","IceOn","IceOff"
"fcre",2024-01-11,0,1
"fcre",2024-01-11,1,0
"fcre",2024-01-11,0,1
"fcre",2024-01-12,1,0
"fcre",2024-01-12,0,1
"fcre",2024-01-12,1,0
"fcre",2024-01-12,0,1
"fcre",2024-01-13,1,0
"fcre",2024-01-13,0,1
"fcre",2024-01-13,1,0
"fcre",2024-01-14,0,1
"fcre",2024-01-14,1,0
"fcre",2024-01-14,0,1
"fcre",2024-01-14,1,0
"fcre",2024-01-14,0,1
"fcre",2024-01-15,1,0
"fcre",2024-01-15,0,1
"fcre",2024-01-15,1,0
"fcre",2024-01-16,0,1
"fcre",2024-01-16,1,0
"fcre",2024-01-20,0,1
"fcre",2024-01-21,1,0
"fcre",2024-01-21,0,1
"fcre",2024-01-21,1,0
"fcre",2024-01-22,0,1
"fcre",2024-01-22,1,0
"fcre",2024-01-26,0,1
